algorithm;class;metric;mse;C;n;value_fact;value_theory;is_steps
f(v) = 1 (константа);O(1);seconds;4.569096944444434E-21;5.2289E-09;50;5.268E-09;5.2289E-09;0
f(v) = 1 (константа);O(1);seconds;4.569096944444434E-21;5.2289E-09;100;5.227499999999999E-09;5.2289E-09;0
f(v) = 1 (константа);O(1);seconds;4.569096944444434E-21;5.2289E-09;150;5.181666666666667E-09;5.2289E-09;0
f(v) = 1 (константа);O(1);seconds;4.569096944444434E-21;5.2289E-09;200;5.17E-09;5.2289E-09;0
f(v) = 1 (константа);O(1);seconds;4.569096944444434E-21;5.2289E-09;250;5.199000000000001E-09;5.2289E-09;0
f(v) = 1 (константа);O(1);seconds;4.569096944444434E-21;5.2289E-09;300;5.399E-09;5.2289E-09;0
f(v) = 1 (константа);O(1);seconds;4.569096944444434E-21;5.2289E-09;350;5.232000000000001E-09;5.2289E-09;0
f(v) = 1 (константа);O(1);seconds;4.569096944444434E-21;5.2289E-09;400;5.15625E-09;5.2289E-09;0
f(v) = 1 (константа);O(1);seconds;4.569096944444434E-21;5.2289E-09;450;5.208E-09;5.2289E-09;0
f(v) = 1 (константа);O(1);seconds;4.569096944444434E-21;5.2289E-09;500;5.1737499999999994E-09;5.2289E-09;0
f(v) = 1 (константа);O(1);seconds;4.569096944444434E-21;5.2289E-09;550;5.198333333333334E-09;5.2289E-09;0
f(v) = 1 (константа);O(1);seconds;4.569096944444434E-21;5.2289E-09;600;5.292E-09;5.2289E-09;0
f(v) = 1 (константа);O(1);seconds;4.569096944444434E-21;5.2289E-09;650;5.17E-09;5.2289E-09;0
f(v) = 1 (константа);O(1);seconds;4.569096944444434E-21;5.2289E-09;700;5.21E-09;5.2289E-09;0
f(v) = 1 (константа);O(1);seconds;4.569096944444434E-21;5.2289E-09;750;5.1812500000000005E-09;5.2289E-09;0
f(v) = 1 (константа);O(1);seconds;4.569096944444434E-21;5.2289E-09;800;5.26E-09;5.2289E-09;0
f(v) = 1 (константа);O(1);seconds;4.569096944444434E-21;5.2289E-09;850;5.223E-09;5.2289E-09;0
f(v) = 1 (константа);O(1);seconds;4.569096944444434E-21;5.2289E-09;900;5.247000000000001E-09;5.2289E-09;0
f(v) = 1 (константа);O(1);seconds;4.569096944444434E-21;5.2289E-09;950;5.1774999999999995E-09;5.2289E-09;0
f(v) = 1 (константа);O(1);seconds;4.569096944444434E-21;5.2289E-09;1000;5.40375E-09;5.2289E-09;0
Сумма элементов;O(n);seconds;4.1445039639555247E-16;2.8343357014453482E-09;50;1.569725E-07;1.417167850722674E-07;0
Сумма элементов;O(n);seconds;4.1445039639555247E-16;2.8343357014453482E-09;100;2.99946E-07;2.834335701445348E-07;0
Сумма элементов;O(n);seconds;4.1445039639555247E-16;2.8343357014453482E-09;150;4.39748E-07;4.2515035521680225E-07;0
Сумма элементов;O(n);seconds;4.1445039639555247E-16;2.8343357014453482E-09;200;5.81988E-07;5.668671402890696E-07;0
Сумма элементов;O(n);seconds;4.1445039639555247E-16;2.8343357014453482E-09;250;7.17786E-07;7.085839253613371E-07;0
